Date,Block,dexTVL,bridgeTVL,liquidStakingTVL,crowdloanTVL,LPTokenStakingTVL,stableCoinTVL,OverallTVL
2022-02-17,1528534,15144081.8324306,23726985.75218,11718180.1989697,78222577.6475398,14445991.1100868,14190604.152492,79225843.0461592
2022-02-18,1532831,14556698.9431735,22197937.4101926,11201867.3384572,74428965.5468807,13954504.7169072,13518493.9446669,75429502.3533974
2022-02-19,1537082,14233536.9370435,22341382.9264362,11320339.0919553,74905046.3256952,13747935.2671913,13445019.1741016,75088213.3967279
2022-02-20,1541290,13366110.1416051,21185914.3987543,10655435.2629611,70229431.9400745,12813940.2962646,12490298.9510348,70511699.0506199
2022-02-21,1545293,12628155.6757692,19536563.4433231,9792882.45827549,64326030.2827741,12086392.9549681,12830699.7066766,66874694.2390125
2022-02-22,1549212,11534617.8103196,19525296.4028313,9860940.40846999,64862247.5810178,11070438.2897922,12685919.1242491,64677212.0356623
2022-02-23,1553133,11597912.5213559,18744439.2054519,9445214.20972632,62075922.180798,11039039.1501834,12841972.6893429,63668577.7760604
2022-02-24,1557141,10531901.740018,17536389.1400736,8915579.24369591,58402583.1189973,10108574.9600149,12117829.2774437,59210274.361246
2022-02-25,1561208,10855033.6198668,18837499.1134129,9614395.30989561,62887765.1930922,10661755.8061037,13064855.7222715,63033539.5715505
2022-02-26,1565186,10921496.1912763,19109864.5344958,9770904.07620289,64185711.7374393,10696326.1069671,13078500.3369262,63577091.2458683
2022-02-27,1569198,10116662.3272521,17441118.5676582,8984981.73803711,58898709.4042882,9913956.41509404,12057255.4299396,58513974.477981
2022-02-28,1573192,10479920.7482993,18930295.1574017,9695623.88055381,64506439.8410617,10482123.2859341,13051276.9941988,62639240.0663878
2022-03-01,1577360,10879012.1080113,20196725.8211765,10451228.9636169,69793442.1742127,10889494.1053206,14094592.1428191,66511053.1409444
2022-03-02,1581658,10743362.6980759,20126522.6443122,10443673.2939441,69763373.9144981,10776685.0710929,13957451.7108308,66047695.4182559
2022-03-03,1586008,10431306.4942512,18990177.2803453,9884752.60155915,65944704.9307435,10385361.1781986,13403247.4935787,63094845.047933
2022-03-04,1590339,9792559.84233119,17465894.2259243,9086776.94480843,60311917.6108746,9643277.90603855,12258298.3170446,58246807.236147
2022-03-05,1594558,9823524.0710535,17884061.5329275,9309292.55562034,61619886.9084598,9727515.12670518,12338275.4043165,59082668.690623
2022-03-06,1598920,9881613.17475399,17885512.1867786,9327350.11238632,61685034.8045081,9787879.41510468,12547580.438095,59429935.3271186
2022-03-07,1603233,9684249.6349671,17326845.7229366,9069358.07876703,59986178.1306331,9488149.80558,11954911.762975,57523515.0052257
2022-03-08,1607573,9699877.30891147,17932807.0356239,9387101.60435338,60737884.6234981,9573868.48785821,12157985.7968908,58751640.2336378
